Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
P00069042,P00069042,Product,0,227,227,0,2694686,2694686,1,1,1,0,0,0.01465,0.000079,0,227,1,2525,0,0
P00248942,P00248942,Product,0,581,581,0,9472642,9472642,1,1,1,0,0,0.032255,0.000079,0,754,0,23,0,0
P00087842,P00087842,Product,0,102,102,0,126265,126265,1,1,1,0,0,0.006774,0.000079,0,837,1,2343,0,0
P00085442,P00085442,Product,0,341,341,0,496203,496203,1,1,1,0,0,0.021924,0.000079,0,1064,1,252,0,0
P00285442,P00285442,Product,0,203,203,0,1561631,1561631,1,1,1,0,0,0.014674,0.000079,0,1195,1,185,0,0
P00193542,P00193542,Product,0,615,615,0,8806045,8806045,1,1,1,0,0,0.044995,0.000079,0,1588,3,150,0,0
P00184942,P00184942,Product,0,1440,1440,0,24334887,24334887,1,1,1,0,0,0.072146,0.000079,0,2484,0,270,0,0
P00346142,P00346142,Product,0,593,593,0,8402584,8402584,1,1,1,0,0,0.037009,0.000079,0,2717,3,293,0,0
P0097242,P0097242,Product,0,912,912,0,14543980,14543980,1,1,1,0,0,0.058432,0.000079,0,2959,2,155,0,0
P00274942,P00274942,Product,0,793,793,0,6398654,6398654,1,1,1,0,0,0.043281,0.000079,0,3219,0,34,0,0
P00251242,P00251242,Product,0,1187,1187,0,8145019,8145019,1,1,1,0,0,0.066465,0.000079,0,3542,0,189,0,0
P00014542,P00014542,Product,0,672,672,0,5423099,5423099,1,1,1,0,0,0.042114,0.000079,0,3680,4,162,0,0
P00031342,P00031342,Product,0,36,36,0,273842,273842,1,1,1,0,0,0.002526,0.000079,0,3685,1,540,0,0
P00145042,P00145042,Product,0,1406,1406,0,20411342,20411342,1,1,1,0,0,0.077988,0.000079,0,4007,3,97,0,0
P00231342,P00231342,Product,0,83,83,0,499814,499814,1,1,1,0,0,0.006044,0.000079,0,4024,4,2850,0,0
P00190242,P00190242,Product,0,190,190,0,385743,385743,1,1,1,0,0,0.014407,0.000079,0,4045,4,413,0,0
P0096642,P0096642,Product,0,174,174,0,1785463,1785463,1,1,1,0,0,0.014466,0.000079,0,4059,3,783,0,0
P00058442,P00058442,Product,0,552,552,0,3531435,3531435,1,1,1,0,0,0.036065,0.000079,0,4134,4,78,0,0
