Id,Label,Type
P00069042,P00069042,Product
P00248942,P00248942,Product
P00087842,P00087842,Product
P00085442,P00085442,Product
P00285442,P00285442,Product
P00193542,P00193542,Product
P00184942,P00184942,Product
P00346142,P00346142,Product
P0097242,P0097242,Product
P00274942,P00274942,Product
P00251242,P00251242,Product
P00014542,P00014542,Product
P00031342,P00031342,Product
P00145042,P00145042,Product
P00231342,P00231342,Product
P00190242,P00190242,Product
P0096642,P0096642,Product
P00058442,P00058442,Product
P00036842,P00036842,Product
P00249542,P00249542,Product
P00220442,P00220442,Product
P00156442,P00156442,Product
P00213742,P00213742,Product
P00214442,P00214442,Product
P00303442,P00303442,Product
P00135742,P00135742,Product
P00039942,P00039942,Product
P00161442,P00161442,Product
P00078742,P00078742,Product
P00085942,P00085942,Product
P00118742,P00118742,Product
P00297942,P00297942,Product
P00266842,P00266842,Product
P00058342,P00058342,Product
P00032442,P00032442,Product
P00105942,P00105942,Product
P00182642,P00182642,Product
P00186942,P00186942,Product
P00155442,P00155442,Product
P00221342,P00221342,Product
P00087242,P00087242,Product
P00111142,P00111142,Product
P00259342,P00259342,Product
P0094542,P0094542,Product
P00148642,P00148642,Product
P00312142,P00312142,Product
P00113242,P00113242,Product
P00192642,P00192642,Product
P00110842,P00110842,Product
P00189642,P00189642,Product
P00304242,P00304242,Product
P00365242,P00365242,Product
P00129542,P00129542,Product
P00140742,P00140742,Product
P00182342,P00182342,Product
P00276642,P00276642,Product
P00334242,P00334242,Product
P00247542,P00247542,Product
P00338442,P00338442,Product
P00275142,P00275142,Product
P00333042,P00333042,Product
P00166242,P00166242,Product
P00161942,P00161942,Product
P00348242,P00348242,Product
P00042142,P00042142,Product
P00244242,P00244242,Product
P00217742,P00217742,Product
P00019342,P00019342,Product
P00100642,P00100642,Product
P00073842,P00073842,Product
P00366542,P00366542,Product
P00190742,P00190742,Product
P00151842,P00151842,Product
P00112642,P00112642,Product
P00118442,P00118442,Product
P00034442,P00034442,Product
P00222242,P00222242,Product
P00118342,P00118342,Product
P00324742,P00324742,Product
P00190042,P00190042,Product
P0094142,P0094142,Product
P00138542,P00138542,Product
P00158542,P00158542,Product
P00157542,P00157542,Product
P00044142,P00044142,Product
P00112542,P00112542,Product
P00339542,P00339542,Product
P00127842,P00127842,Product
P00125942,P00125942,Product
P00251342,P00251342,Product
P00249642,P00249642,Product
P00124842,P00124842,Product
P00250642,P00250642,Product
P00058142,P00058142,Product
P00117442,P00117442,Product
P00251642,P00251642,Product
P00244842,P00244842,Product
P00220242,P00220242,Product
P00351142,P00351142,Product
P00213242,P00213242,Product
P00195942,P00195942,Product
P00115642,P00115642,Product
P0098242,P0098242,Product
P00262242,P00262242,Product
P00258742,P00258742,Product
P00218242,P00218242,Product
P00021742,P00021742,Product
P00313042,P00313042,Product
P00133742,P00133742,Product
P00077042,P00077042,Product
P00280542,P00280542,Product
P00225842,P00225842,Product
P00278942,P00278942,Product
P00004742,P00004742,Product
P00198042,P00198042,Product
P00177442,P00177442,Product
P00000642,P00000642,Product
P00288942,P00288942,Product
P00270942,P00270942,Product
P00345842,P00345842,Product
P00032042,P00032042,Product
P00112342,P00112342,Product
P00031842,P00031842,Product
P00346642,P00346642,Product
P00205642,P00205642,Product
P00206442,P00206442,Product
P00046742,P00046742,Product
P00120042,P00120042,Product
P00043242,P00043242,Product
P00057242,P00057242,Product
P00022842,P00022842,Product
P00252042,P00252042,Product
P00042242,P00042242,Product
P00059542,P00059542,Product
P00021242,P00021242,Product
P00023042,P00023042,Product
P00144242,P00144242,Product
P00101342,P00101342,Product
P00289342,P00289342,Product
P00281742,P00281742,Product
P00266642,P00266642,Product
P00323742,P00323742,Product
P00116342,P00116342,Product
P00117142,P00117142,Product
P00084442,P00084442,Product
P00331542,P00331542,Product
P00178942,P00178942,Product
P00026042,P00026042,Product
P00233542,P00233542,Product
P00127242,P00127242,Product
P00349942,P00349942,Product
P00303342,P00303342,Product
P00051442,P00051442,Product
P00275642,P00275642,Product
P00278642,P00278642,Product
P00322042,P00322042,Product
P00216342,P00216342,Product
P00329342,P00329342,Product
P00332342,P00332342,Product
P00111742,P00111742,Product
P00293742,P00293742,Product
P00032842,P00032842,Product
P00216142,P00216142,Product
P00001642,P00001642,Product
P00351842,P00351842,Product
P00145442,P00145442,Product
P00344242,P00344242,Product
P00327242,P00327242,Product
P00241142,P00241142,Product
P00219242,P00219242,Product
P00057342,P00057342,Product
P00165742,P00165742,Product
P00154642,P00154642,Product
P00192942,P00192942,Product
P00247042,P00247042,Product
P00150542,P00150542,Product
P00347142,P00347142,Product
P00326742,P00326742,Product
P00330442,P00330442,Product
P00327842,P00327842,Product
P00218342,P00218342,Product
P00259042,P00259042,Product
P00102542,P00102542,Product
P00121142,P00121142,Product
P00228242,P00228242,Product
P00309542,P00309542,Product
P00106742,P00106742,Product
P00102642,P00102642,Product
P00127442,P00127442,Product
P00345642,P00345642,Product
P00357842,P00357842,Product
P00115342,P00115342,Product
P00174442,P00174442,Product
P00282642,P00282642,Product
P00037142,P00037142,Product
P00192042,P00192042,Product
P00197542,P00197542,Product
P00048742,P00048742,Product
P00110142,P00110142,Product
P00120842,P00120842,Product
P00267742,P00267742,Product
P00086442,P00086442,Product
P00331842,P00331842,Product
P00288642,P00288642,Product
P00318742,P00318742,Product
P00028442,P00028442,Product
P00208342,P00208342,Product
P00277442,P00277442,Product
P00085242,P00085242,Product
P00279442,P00279442,Product
P00235242,P00235242,Product
P00251542,P00251542,Product
P00003242,P00003242,Product
P00221542,P00221542,Product
P00142142,P00142142,Product
P00044442,P00044442,Product
P00147742,P00147742,Product
P00030942,P00030942,Product
P00288042,P00288042,Product
P00313142,P00313142,Product
P00195442,P00195442,Product
P00255842,P00255842,Product
P00112142,P00112142,Product
P00120342,P00120342,Product
P00110542,P00110542,Product
P00279942,P00279942,Product
P00303742,P00303742,Product
P00316742,P00316742,Product
P00115242,P00115242,Product
P00302842,P00302842,Product
P00066442,P00066442,Product
P00273442,P00273442,Product
P00210142,P00210142,Product
P00212542,P00212542,Product
P00321742,P00321742,Product
P00020042,P00020042,Product
P00051942,P00051942,Product
P00303542,P00303542,Product
P00228142,P00228142,Product
P00123142,P00123142,Product
P00079542,P00079542,Product
P00103142,P00103142,Product
P00305542,P00305542,Product
P00031042,P00031042,Product
P00260042,P00260042,Product
P00055642,P00055642,Product
P00312742,P00312742,Product
P00010742,P00010742,Product
P00223242,P00223242,Product
P00114942,P00114942,Product
P00183242,P00183242,Product
P00030842,P00030842,Product
P00220142,P00220142,Product
P00130442,P00130442,Product
P00323042,P00323042,Product
P00344742,P00344742,Product
P00182442,P00182442,Product
P00015342,P00015342,Product
P00103042,P00103042,Product
P00187842,P00187842,Product
P00162442,P00162442,Product
P00078542,P00078542,Product
P00324442,P00324442,Product
P00041642,P00041642,Product
P00050542,P00050542,Product
P00006442,P00006442,Product
P00350942,P00350942,Product
P00000142,P00000142,Product
P00034042,P00034042,Product
P00143142,P00143142,Product
P00317942,P00317942,Product
P00335542,P00335542,Product
P00361842,P00361842,Product
P00147942,P00147942,Product
P00028042,P00028042,Product
P00117542,P00117542,Product
P00130742,P00130742,Product
P00024142,P00024142,Product
P00209742,P00209742,Product
P00160042,P00160042,Product
P00042342,P00042342,Product
P00016542,P00016542,Product
P00016742,P00016742,Product
P00227642,P00227642,Product
P00146142,P00146142,Product
P00070542,P00070542,Product
P00129842,P00129842,Product
P00243942,P00243942,Product
P00246742,P00246742,Product
P00310142,P00310142,Product
P00244142,P00244142,Product
P00190142,P00190142,Product
P00109242,P00109242,Product
P00089342,P00089342,Product
P00288542,P00288542,Product
P00212242,P00212242,Product
P00319342,P00319342,Product
P00302942,P00302942,Product
P00145942,P00145942,Product
P00026342,P00026342,Product
P00148842,P00148842,Product
P00299842,P00299842,Product
P00313342,P00313342,Product
P00102442,P00102442,Product
P00237542,P00237542,Product
P0099342,P0099342,Product
P00171542,P00171542,Product
P00350342,P00350342,Product
P00110742,P00110742,Product
P00117642,P00117642,Product
P00114142,P00114142,Product
P00119142,P00119142,Product
P00280742,P00280742,Product
P00271142,P00271142,Product
P00003942,P00003942,Product
P00151742,P00151742,Product
P00050642,P00050642,Product
P00114742,P00114742,Product
P00113942,P00113942,Product
P00120942,P00120942,Product
P00083842,P00083842,Product
P00317842,P00317842,Product
P00030642,P00030642,Product
P00273642,P00273642,Product
P00002542,P00002542,Product
P00331642,P00331642,Product
P00331242,P00331242,Product
P0096442,P0096442,Product
P00050242,P00050242,Product
P00131942,P00131942,Product
P00132042,P00132042,Product
P00013742,P00013742,Product
P00119342,P00119342,Product
P00182142,P00182142,Product
P00188942,P00188942,Product
P00203142,P00203142,Product
P00320442,P00320442,Product
P00121642,P00121642,Product
P00289542,P00289542,Product
