Id,Label,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,eigencentrality,clustering,triangles
Emergency First Aid Tin,Emergency First Aid Tin,Product,463,40194,4,0.533672,0.580188,0.000064,0.02858,0.02858,0.000394,0,6,75,0.484588,0.740811,79232
Cake Stand Lovebird 2 Tier Pink,Cake Stand Lovebird 2 Tier Pink,Product,1,57,1,1,1,0,0,0,0.000376,1,14,0,0.000018,0,0
Christmas Decoupage Candle,Christmas Decoupage Candle,Product,118,14621,5,0.479087,0.501137,0.000032,0.004619,0.004619,0.000222,0,24,105,0.079455,0.554397,3827
Storage Tin Home Sweet Home,Storage Tin Home Sweet Home,Product,4,210,5,0.429296,0.447128,0,0.000325,0.000325,0.000058,0,18,215,0.005571,1,6
Pantry Scrubbing Brush,Pantry Scrubbing Brush,Product,427,53834,4,0.521057,0.568115,0.000171,0.024017,0.024017,0.000505,0,3,797,0.407792,0.642434,58430
Large Ceramic Top Storage Jar,Large Ceramic Top Storage Jar,Product,538,76198,4,0.53772,0.59188,0.00016,0.03047,0.03047,0.00068,0,3,172,0.516892,0.630184,91032
Antique Cream Cutlery Cupboard,Antique Cream Cutlery Cupboard,Product,2,144,5,0.382306,0.40007,0,0.000116,0.000116,0.000059,0,6,825,0.002032,1,1
Traditional Wooden Catch Cup Game,Traditional Wooden Catch Cup Game,Product,847,99789,4,0.582759,0.655102,0.000619,0.042763,0.042763,0.000918,0,7,316,0.725747,0.491955,176258
Ceramic Bowl With Love Heart Design,Ceramic Bowl With Love Heart Design,Product,68,5390,5,0.457926,0.479483,0.00007,0.00222,0.00222,0.000148,0,6,893,0.038664,0.478929,1091
36 Pencils Tube Woodland,36 Pencils Tube Woodland,Product,347,39238,4,0.512805,0.55277,0.000029,0.021721,0.021721,0.000365,0,3,310,0.368467,0.762756,45789
Wood Stocking Christmas Scandispot,Wood Stocking Christmas Scandispot,Product,589,67982,4,0.546914,0.603539,0.000261,0.032276,0.032276,0.000654,0,24,3,0.547502,0.618158,107044
Lovely Bonbon Sticker Sheet,Lovely Bonbon Sticker Sheet,Product,17,1046,5,0.439511,0.457962,0,0.001031,0.001031,0.000067,0,3,436,0.017617,0.904412,123
Regency Milk Jug Pink,Regency Milk Jug Pink,Product,350,48073,4,0.51381,0.553628,0.000056,0.021165,0.021165,0.000453,0,8,732,0.359207,0.718215,43865
Triple Photo Frame Cornice,Triple Photo Frame Cornice,Product,40,4080,5,0.467475,0.48252,0.000002,0.002682,0.002682,0.000105,0,18,404,0.04598,0.923077,720
Filigree Heart Butterfly White,Filigree Heart Butterfly White,Product,175,15103,4,0.493416,0.518173,0.000018,0.010222,0.010222,0.000191,0,18,9,0.174042,0.744499,11335
Parisienne Key Cabinet,Parisienne Key Cabinet,Product,127,9698,4,0.482435,0.504257,0.000013,0.008848,0.008848,0.000144,0,3,859,0.15059,0.889014,7113
Pink/Flower Rabbit Egg Warmer,Pink/Flower Rabbit Egg Warmer,Product,1,52,5,0.386588,0.404982,0,0.000085,0.000085,0.000057,0,6,157,0.001447,0,0
French Enamel Pot W Lid,French Enamel Pot W Lid,Product,42,2618,5,0.47024,0.485062,0.000075,0.002615,0.002615,0.000097,0,6,72,0.04498,0.66899,576
Rose Cottage Keepsake Box,Rose Cottage Keepsake Box,Product,202,18617,4,0.490189,0.519539,0.000028,0.012306,0.012306,0.000213,0,3,885,0.209487,0.771932,15671
Christmas Garland Stars Trees,Christmas Garland Stars Trees,Product,47,2915,5,0.466726,0.482933,0,0.003217,0.003217,0.000081,0,24,393,0.054819,1,1081
Cosmetic Bag Vintage Rose Paisley,Cosmetic Bag Vintage Rose Paisley,Product,31,2078,4,0.465071,0.479476,0.000014,0.00206,0.00206,0.000089,0,6,528,0.035345,0.806452,375
Childs Breakfast Set Circus Parade,Childs Breakfast Set Circus Parade,Product,81,6142,4,0.464166,0.485608,0,0.005492,0.005492,0.000106,0,3,429,0.093495,0.936728,3035
Red Toadstool Led Night Light,Red Toadstool Led Night Light,Product,1424,328076,4,0.672909,0.766743,0.007104,0.054935,0.054935,0.003022,0,3,195,0.938066,0.273143,276742
Fancy Font Birthday Card,Fancy Font Birthday Card,Product,683,96693,4,0.56143,0.623396,0.000542,0.036383,0.036383,0.000882,0,21,268,0.61747,0.553363,128880
Set Of 4 Fairy Cake Placemats,Set Of 4 Fairy Cake Placemats,Product,189,14749,5,0.492767,0.519882,0.000209,0.007065,0.007065,0.000271,0,6,426,0.12321,0.553867,9840
Oval Mini Portrait Frame,Oval Mini Portrait Frame,Product,13,971,5,0.427826,0.447128,0,0.000688,0.000688,0.00008,0,18,656,0.011768,0.910256,71
Set 2 Tea Towels I Love London,Set 2 Tea Towels I Love London,Product,679,87564,4,0.560231,0.62222,0.000256,0.037282,0.037282,0.000778,0,3,701,0.632,0.587212,135165
200 Bendy Skull Straws,200 Bendy Skull Straws,Product,21,1578,5,0.450146,0.467124,0,0.001347,0.001347,0.00007,0,3,376,0.023036,0.838095,176
Soap Dish Brocante,Soap Dish Brocante,Product,61,5898,5,0.471085,0.488048,0.000002,0.003958,0.003958,0.000107,0,18,202,0.067568,0.840984,1539
Blue Polkadot Washing Up Gloves,Blue Polkadot Washing Up Gloves,Product,66,4605,5,0.471932,0.489287,0,0.005092,0.005092,0.000094,0,3,275,0.086909,0.973893,2089
Childrens Cutlery Circus Parade,Childrens Cutlery Circus Parade,Product,288,34890,4,0.500859,0.53768,0.00004,0.016452,0.016452,0.000336,0,3,256,0.279542,0.729118,30133
Magic Drawing Slate Circus Parade,Magic Drawing Slate Circus Parade,Product,330,41677,4,0.513307,0.550928,0.000052,0.019896,0.019896,0.000405,0,7,702,0.337775,0.719499,39058
Edwardian Parasol Red,Edwardian Parasol Red,Product,181,17278,5,0.494532,0.51985,0.000025,0.011603,0.011603,0.000211,0,3,78,0.197635,0.790362,12875
Set Of 36 Dolly Girl Paper Doilies,Set Of 36 Dolly Girl Paper Doilies,Product,121,14399,4,0.481196,0.502859,0.000002,0.008619,0.008619,0.000172,0,3,349,0.146546,0.904132,6564
75 Green Fairy Cake Cases,75 Green Fairy Cake Cases,Product,1,50,5,0.420892,0.439579,0,0.0001,0.0001,0.000057,0,3,737,0.00175,0,0
Jingle Bell Heart Decoration,Jingle Bell Heart Decoration,Product,600,64817,4,0.547714,0.605414,0.000725,0.032103,0.032103,0.000657,0,24,804,0.544912,0.579655,104164
Retro Mod Tray,Retro Mod Tray,Product,107,7260,4,0.486642,0.504861,0.000002,0.007961,0.007961,0.000117,0,24,606,0.13554,0.91483,5188
Doormat Topiary,Doormat Topiary,Product,70,7292,5,0.469483,0.487953,0.000002,0.004537,0.004537,0.000124,0,1,163,0.077525,0.858385,2073
Watering Can Blue Elephant,Watering Can Blue Elephant,Product,376,41827,4,0.522094,0.562206,0.000238,0.022159,0.022159,0.00043,0,3,134,0.376427,0.698823,49267
Green Enamel Flower Ring,Green Enamel Flower Ring,Product,1,53,1,1,1,0,0,0,0.000376,2,10,483,0.000018,0,0
Hanging Quilted Patchwork Apples,Hanging Quilted Patchwork Apples,Product,129,10004,4,0.484843,0.506481,0.000012,0.008141,0.008141,0.000146,0,24,83,0.138585,0.780281,6442
Set 12 Kids White Chalk Sticks,Set 12 Kids White Chalk Sticks,Product,502,61401,4,0.533998,0.585112,0.000233,0.02782,0.02782,0.000571,0,7,641,0.472332,0.612973,77082
Vanilla Scent Candle Jewelled Box,Vanilla Scent Candle Jewelled Box,Product,20,3877,5,0.446088,0.463502,0.000527,0.000578,0.000578,0.000278,0,5,361,0.010113,0.457895,87
White Lovebird Lantern,White Lovebird Lantern,Product,140,10460,5,0.489823,0.511209,0.000006,0.009369,0.009369,0.000148,0,18,646,0.159724,0.884584,8607
Laurel Star Antique Gold,Laurel Star Antique Gold,Product,59,4535,5,0.463919,0.482488,0.000003,0.002985,0.002985,0.000102,0,24,705,0.0509,0.798948,1367
Danish Rose Photo Frame,Danish Rose Photo Frame,Product,136,12128,5,0.489548,0.510732,0.000367,0.004751,0.004751,0.000267,0,6,72,0.082841,0.400218,3674
Round Blue Clock With Sucker,Round Blue Clock With Sucker,Product,8,775,5,0.384999,0.404041,0,0.000201,0.000201,0.000071,0,6,893,0.003552,0.892857,25
Mini Playing Cards Dolly Girl,Mini Playing Cards Dolly Girl,Product,282,42523,4,0.501338,0.537139,0.000346,0.016687,0.016687,0.000437,0,24,147,0.283041,0.741652,29385
Pink Horse Sock Puppet Kit,Pink Horse Sock Puppet Kit,Product,16,1038,5,0.420151,0.440742,0,0.000961,0.000961,0.000065,0,7,92,0.016247,1,120
Jumbo Bag Apples,Jumbo Bag Apples,Product,1139,261384,4,0.625268,0.711622,0.002664,0.050418,0.050418,0.002271,0,1,839,0.857802,0.367097,237912
Union Stripe Cushion Cover,Union Stripe Cushion Cover,Product,8,690,5,0.443974,0.460294,0.000006,0.000395,0.000395,0.000096,0,18,457,0.006874,0.5,14
Floral Folk Stationery Set,Floral Folk Stationery Set,Product,1152,131767,4,0.627963,0.714449,0.003275,0.048168,0.048168,0.001367,0,6,882,0.822027,0.334256,221604
Angel Decoration 3 Buttons,Angel Decoration 3 Buttons,Product,341,34963,4,0.519612,0.556043,0.000173,0.020346,0.020346,0.000372,0,24,545,0.345196,0.758237,43955
Pens Assorted Funny Face,Pens Assorted Funny Face,Product,694,91777,4,0.56059,0.624285,0.003908,0.028769,0.028769,0.001168,0,6,657,0.494045,0.363641,87193
Feltcraft Princess Olivia Doll,Feltcraft Princess Olivia Doll,Product,351,38994,4,0.512906,0.553406,0.000127,0.020067,0.020067,0.00038,0,7,47,0.341036,0.680651,41809
Dinosaurs Writing Set,Dinosaurs Writing Set,Product,437,38671,4,0.527024,0.572976,0.000169,0.025534,0.025534,0.000403,0,6,310,0.433988,0.670502,63876
Pack Of Six Led Tea Lights,Pack Of Six Led Tea Lights,Product,337,30724,4,0.511705,0.55061,0.000052,0.020622,0.020622,0.000313,0,24,401,0.349678,0.742582,42042
Childs Garden Brush Pink,Childs Garden Brush Pink,Product,35,3177,5,0.45953,0.476134,0.000006,0.001738,0.001738,0.000111,0,7,542,0.029965,0.742857,442
Set/6 Turquoise Butterfly T-Lights,Set/6 Turquoise Butterfly T-Lights,Product,92,10666,4,0.479087,0.497681,0.000011,0.005777,0.005777,0.000154,0,3,510,0.09864,0.759197,3178
Wrap Summer Rose Design,Wrap Summer Rose Design,Product,3,225,5,0.358138,0.37276,0,0.000119,0.000119,0.000058,0,21,348,0.002032,1,3
Biscuit Tin 50'S Christmas,Biscuit Tin 50'S Christmas,Product,454,52950,4,0.523448,0.572754,0.000091,0.026818,0.026818,0.000489,0,24,581,0.454346,0.710885,73101
Set 12 Colour Pencils Spaceboy,Set 12 Colour Pencils Spaceboy,Product,616,93050,4,0.548286,0.607796,0.000211,0.034143,0.034143,0.000822,0,24,626,0.578746,0.618731,117200
Victorian Metal Postcard Spring,Victorian Metal Postcard Spring,Product,186,16170,4,0.497723,0.522366,0.000031,0.010667,0.010667,0.000211,0,18,668,0.182189,0.700203,12047
Set Of 3 Coloured Flying Ducks,Set Of 3 Coloured Flying Ducks,Product,9,851,5,0.442327,0.458991,0,0.000485,0.000485,0.000065,0,7,808,0.008322,0.944444,34
Camphor Wood Portobello Mushroom,Camphor Wood Portobello Mushroom,Product,2,189,1,1,1,0,0,0,0.000418,3,4,14,0.000036,1,1
Set/4 Badges Cute Creatures,Set/4 Badges Cute Creatures,Product,18,1243,4,0.454042,0.469532,0,0.001154,0.001154,0.000072,0,6,436,0.019911,0.96732,148
Red Retrospot Mini Cases,Red Retrospot Mini Cases,Product,322,33079,4,0.509518,0.547369,0.000094,0.018128,0.018128,0.000335,0,3,53,0.308352,0.671852,34722
Christmas Tree Decoration With Bell,Christmas Tree Decoration With Bell,Product,423,42808,4,0.527342,0.571229,0.000497,0.019645,0.019645,0.000533,0,6,407,0.336816,0.507781,45321
Pink Blue Felt Craft Trinket Box,Pink Blue Felt Craft Trinket Box,Product,900,169515,4,0.590367,0.665491,0.001229,0.044736,0.044736,0.001486,0,7,597,0.759346,0.473605,191597
Party Metal Sign,Party Metal Sign,Product,558,65321,4,0.541606,0.596645,0.000164,0.031728,0.031728,0.000604,0,18,247,0.538118,0.635612,98776
Small White Heart Of Wicker,Small White Heart Of Wicker,Product,701,100965,4,0.559991,0.624889,0.000973,0.0359,0.0359,0.000957,0,24,563,0.609753,0.521329,127908
Woodland Mini Backpack,Woodland Mini Backpack,Product,262,28138,4,0.496029,0.530944,0.000065,0.014781,0.014781,0.000295,0,3,4,0.251176,0.688982,23557
Jungle Popsicles Ice Lolly Moulds,Jungle Popsicles Ice Lolly Moulds,Product,302,25490,4,0.509024,0.544605,0.000029,0.019867,0.019867,0.000267,0,3,650,0.337194,0.818838,37217
Overnight Bag Vintage Rose Paisley,Overnight Bag Vintage Rose Paisley,Product,136,9876,4,0.488727,0.510008,0.000003,0.009526,0.009526,0.00014,0,1,43,0.162164,0.930174,8539
Food Cover With Beads Set 2,Food Cover With Beads Set 2,Product,226,21254,4,0.495092,0.525893,0.000036,0.012786,0.012786,0.000236,0,3,148,0.217556,0.686175,17446
Easter Tin Bucket,Easter Tin Bucket,Product,124,11745,4,0.470493,0.495838,0.000005,0.006951,0.006951,0.000153,0,3,633,0.118325,0.82022,6255
Egg Frying Pan Mint,Egg Frying Pan Mint,Product,5,368,5,0.391259,0.410923,0,0.000103,0.000103,0.000088,0,24,89,0.001825,0.9,9
English Rose Hot Water Bottle,English Rose Hot Water Bottle,Product,481,47702,4,0.535415,0.583302,0.000166,0.027881,0.027881,0.000459,0,24,832,0.47292,0.657164,75863
Pack Of 60 Dinosaur Cake Cases,Pack Of 60 Dinosaur Cake Cases,Product,979,208209,4,0.602296,0.68109,0.00129,0.046256,0.046256,0.001796,0,3,451,0.786249,0.426356,204110
Glitter Heart Decoration,Glitter Heart Decoration,Product,305,32741,4,0.511705,0.546575,0.000344,0.015341,0.015341,0.000398,0,24,152,0.261302,0.574957,26655
Hanging Wood And Felt Heart,Hanging Wood And Felt Heart,Product,218,19839,5,0.500859,0.528873,0.000077,0.00858,0.00858,0.0003,0,6,2,0.14936,0.629518,14890
Botanical Lily Gift Wrap,Botanical Lily Gift Wrap,Product,26,1926,5,0.441731,0.461043,0.000001,0.001392,0.001392,0.000074,0,3,189,0.023769,0.815385,265
Metal Merry Christmas Wreath,Metal Merry Christmas Wreath,Product,31,2779,5,0.456491,0.473116,0,0.002042,0.002042,0.000081,0,24,120,0.034731,0.916129,426
French Bathroom Sign Blue Metal,French Bathroom Sign Blue Metal,Product,249,27100,4,0.501434,0.532819,0.000036,0.015375,0.015375,0.000293,0,18,51,0.261434,0.76587,23647
Soldiers Egg Cup,Soldiers Egg Cup,Product,810,110065,4,0.57839,0.647954,0.000807,0.041744,0.041744,0.001004,0,3,16,0.709477,0.515243,168400
Small Heart Flowers Hook,Small Heart Flowers Hook,Product,257,21572,4,0.510808,0.539872,0.000217,0.016405,0.016405,0.000265,0,18,265,0.27896,0.786387,25869
Blue Birdhouse Decoration,Blue Birdhouse Decoration,Product,20,1440,5,0.454593,0.470161,0,0.00118,0.00118,0.000076,0,18,489,0.020246,0.810526,154
Botanical Rose Gift Wrap,Botanical Rose Gift Wrap,Product,35,2987,5,0.440692,0.461437,0.000004,0.001358,0.001358,0.000095,0,21,202,0.023247,0.779832,464
Wooden Croquet Garden Set,Wooden Croquet Garden Set,Product,103,7537,5,0.481992,0.50101,0.000015,0.007707,0.007707,0.000134,0,1,572,0.131362,0.935846,4916
Candy Spot Egg Warmer Rabbit,Candy Spot Egg Warmer Rabbit,Product,113,7969,5,0.485831,0.505458,0.000017,0.00566,0.00566,0.000151,0,6,559,0.097981,0.759482,4806
Red Retrospot Mug,Red Retrospot Mug,Product,184,24368,4,0.491291,0.51795,0.000014,0.011492,0.011492,0.000263,0,3,549,0.195463,0.778154,13101
Queen Of Skies Luggage Tag,Queen Of Skies Luggage Tag,Product,34,2022,5,0.469819,0.483759,0.000136,0.002292,0.002292,0.000104,0,6,502,0.039559,0.841355,472
Treasure Tin Buffalo Bill,Treasure Tin Buffalo Bill,Product,306,41746,4,0.505492,0.542731,0.000055,0.017972,0.017972,0.000394,0,3,531,0.305294,0.736205,34355
Blossom Images Notebook Set,Blossom Images Notebook Set,Product,37,2596,4,0.459209,0.476172,0.000135,0.001945,0.001945,0.000119,0,6,464,0.03344,0.713213,475
Natural Slate Heart Chalkboard,Natural Slate Heart Chalkboard,Product,1437,228153,4,0.676903,0.76957,0.008982,0.053953,0.053953,0.002357,0,18,614,0.92393,0.25996,267845
Coffee Mug Blue Paisley Design,Coffee Mug Blue Paisley Design,Product,15,4982,5,0.446088,0.462664,0.000002,0.000634,0.000634,0.000112,0,18,151,0.010954,0.819048,86
Paper Bunting Vintage Paisley,Paper Bunting Vintage Paisley,Product,245,23189,4,0.503552,0.533645,0.000018,0.016564,0.016564,0.000246,0,3,712,0.281408,0.863834,25820
Blue Owl Soft Toy,Blue Owl Soft Toy,Product,33,2417,5,0.465566,0.48036,0,0.002623,0.002623,0.000077,0,3,25,0.044898,0.975379,515
Party Pizza Dish Green Polkadot,Party Pizza Dish Green Polkadot,Product,233,26512,5,0.497629,0.52865,0.000154,0.009247,0.009247,0.000362,0,6,284,0.160238,0.532041,14380
Clam Shell Small,Clam Shell Small,Product,1,88,6,0.289962,0.297096,0,0,0,0.000086,0,18,25,0.000026,0,0
Rose Du Sud Oven Glove,Rose Du Sud Oven Glove,Product,10,590,5,0.44899,0.464697,0,0.000899,0.000899,0.000061,0,3,824,0.015527,1,45
Set Of 6 Tea Time Baking Cases,Set Of 6 Tea Time Baking Cases,Product,565,89508,4,0.539934,0.596772,0.00018,0.032162,0.032162,0.000777,0,3,62,0.545352,0.635379,101235
Pack Of 6 Small Fruit Straws,Pack Of 6 Small Fruit Straws,Product,154,16759,4,0.487365,0.511406,0.000014,0.010369,0.010369,0.000196,0,21,834,0.176345,0.840336,9900
Citronella Candle Flowerpot,Citronella Candle Flowerpot,Product,50,3603,5,0.472102,0.487349,0,0.003915,0.003915,0.000087,0,18,282,0.066978,0.986939,1209
Cream Hanging Heart T-Light Holder,Cream Hanging Heart T-Light Holder,Product,1866,461841,4,0.765392,0.852554,0.053559,0.05804,0.05804,0.005717,0,18,417,1,0.175917,305776
Squarecushion Cover Pink Union Jack,Squarecushion Cover Pink Union Jack,Product,5,313,5,0.368865,0.384744,0,0.000177,0.000177,0.00006,0,18,511,0.003024,1,10
Candy Spot Cushion Cover,Candy Spot Cushion Cover,Product,250,19922,4,0.505492,0.535773,0.000089,0.011743,0.011743,0.000283,0,6,315,0.202749,0.64498,20075
Plasters In Tin Circus Parade,Plasters In Tin Circus Parade,Product,864,169370,4,0.582371,0.657263,0.000807,0.041937,0.041937,0.001451,0,3,654,0.71237,0.458073,170777
